Title: Transmission Spectroscopy of the Habitable Zone Exoplanet 
       LHS 1140b with JWST/NIRISS 
Authors: Cadieux C., Doyon R., MacDonald R.J., Turbet M., Artigau E., Lim O., 
         Radica M., Fauchez T.J., Salhi S., Dang L., Albert L., Coulombe L., 
         Cowan N.B., Lafreniere D., L'Heureux A., Piaulet-Ghorayeb C., 
         Benneke B., Cloutier R., Charnay B., Cook N.J., Fournier-Tondreau M.,
         Plotnykov M., Valencia D. 
Table: NIRISS SOSS transmission spectra of LHS 1140 b and c
================================================================================
Byte-by-byte Description of file: apjlad5afat2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label    Explanations
--------------------------------------------------------------------------------
   1-  7 F7.5   um      CWave    Central wavelength
   9- 15 F7.5   um      Width    Bandwidth
  17- 23 F7.2   ppm     Depth-b  Transit depth of planet b
  25- 30 F6.2   ppm   e_Depth-b  Uncertainty in Depth-b
  32- 38 F7.2   ppm     Depth-c  Transit depth of planet c
  40- 45 F6.2   ppm   e_Depth-c  Uncertainty in Depth-c
  47- 47 I1     ---     Order    Order number
--------------------------------------------------------------------------------
1.51949 0.00760 5547.68  31.88 2819.54  52.99 1 
1.53476 0.00767 5527.60  33.62 2781.55  58.79 1 
1.55019 0.00775 5600.71  33.35 2709.25  51.95 1 
1.56577 0.00783 5560.56  33.31 2821.04  55.49 1 
1.58151 0.00791 5497.16  32.99 2899.87  56.54 1 
1.59740 0.00799 5567.92  32.45 2788.38  55.23 1 
1.61345 0.00807 5525.35  32.97 2772.41  57.37 1 
1.62967 0.00815 5534.38  31.28 2822.26  56.93 1 
1.64605 0.00823 5562.64  30.92 2853.58  54.83 1 
1.66259 0.00831 5533.00  33.79 2871.25  59.65 1 
1.67930 0.00840 5534.80  37.35 2723.79  69.84 1 
1.69618 0.00848 5494.21  33.66 2896.01  60.07 1 
1.71323 0.00857 5592.99  34.82 2752.76  60.97 1 
1.73044 0.00865 5520.39  37.66 2749.97  65.28 1 
1.74784 0.00874 5427.19  38.14 2824.60  60.58 1 
1.76540 0.00883 5482.24  37.17 2919.41  64.25 1 
1.78314 0.00892 5532.20  39.55 2861.30  65.72 1 
1.80107 0.00901 5449.23  38.30 2960.66  66.26 1 
1.81917 0.00910 5572.64  41.77 2749.00  74.50 1 
1.83745 0.00919 5539.32  39.67 2784.60  71.52 1 
1.85592 0.00928 5428.46  42.34 3016.62  75.22 1 
1.87457 0.00937 5576.63  44.43 2832.91  74.70 1 
1.89341 0.00947 5458.53  43.14 2781.11  73.43 1 
1.91244 0.00956 5543.79  42.72 2787.84  73.81 1 
1.93166 0.00966 5506.99  42.37 2862.27  77.46 1 
1.95107 0.00976 5567.16  47.21 2868.14  80.86 1 
1.97068 0.00985 5464.09  47.95 2821.40  80.54 1 
1.99049 0.00995 5464.04  48.36 2755.77  80.98 1 
2.01049 0.01005 5484.80  49.82 2770.47  86.30 1 
2.03070 0.01015 5630.49  46.73 2646.02  81.98 1 
2.05111 0.01026 5477.43  47.69 2860.84  82.93 1 
2.07172 0.01036 5572.15  49.91 2830.83  80.50 1 
2.09254 0.01046 5572.55  50.05 2987.28  79.84 1 
2.11357 0.01057 5443.62  47.58 2953.07  81.83 1 
2.13482 0.01067 5557.74  52.16 2896.52  91.36 1 
2.15627 0.01078 5555.65  51.49 2682.41  81.13 1 
2.17794 0.01089 5647.14  50.73 2764.95  86.40 1 
2.19983 0.01100 5564.62  52.94 2967.31  89.89 1 
2.22194 0.01111 5680.14  49.37 2655.06  85.25 1 
2.24427 0.01122 5550.21  51.43 2854.10  83.75 1 
2.26683 0.01133 5591.21  52.16 2729.30  93.41 1 
2.28961 0.01145 5690.37  49.69 2631.05  85.07 1 
2.31262 0.01156 5599.73  54.42 2949.39  93.28 1 
2.33586 0.01168 5564.84  53.71 2855.46  95.18 1 
2.35934 0.01180 5552.56  56.43 2849.94 101.67 1 
